Zkontroloval	Název			Metadata							Soubory			Anotace
Martin Ukrop	InterLoS	INTERnetová LOgická Soutěž	meziobor	jednodenní internetová týmová soutěž	sobota nebo neděle na přelomu listopadu a prosince	středoškoláci, vysokoškoláci a kdokoliv další	interlos.fi.muni.cz	zdarma	kdekoliv na Zemi a v přilehlém vesmíru	interlos@fi.muni.cz	ano	ano	ano	Rád programuješ, řešíš logické úlohy nebo šifry? Máš kamarády, které to také baví? Sestavte tým a přihlaste se! Úlohy se odevzdávají přes internet a mají různou obtížnost – soutěž je tedy vhodná pro začátečníky i pokročilé ze všech koutů světa.
nikdo	InterSoB	INTERteritoriální SOutěžní Blbnutí	meziobor	jednodenní městská hra	duben	týmy středoškoláků	https://intersob.math.muni.cz/	zdarma	Brno	intersob@math.muni.cz	ano	?	?	InterSoB je zábavná a poučná jednodenní soutěž středoškolských studentů, při které máte možnost podívat se netradičním způsobem do zákulisí Masarykovy univerzity, vyzkoušet si své schopnosti v mnoha různých oblastech, udělat si s kamarády zajímavý výlet po Brně a v neposlední řadě také poměřit svoje síly s dalšími týmy.
nikdo	IBIS	Interaktivní biologický seminář	biologie				http://ibis.sci.muni.cz/				?	?	?	
nikdo	--	K-SCUK	meziobor	týdenní soustředění	září	úspěšní řešitelé seminářů KSI a IBIS	https://kscuk.fi.muni.cz/	zdarma	hezká budova v hezké přírodě	kscuk@fi.muni.cz	ano	?	?	K-SCUK je společné soustředění pro řešitele seminářů IBIS a KSI Masarykovy univerzity. Na soustředění bude probíhat nejen zajímavý odborný program, ale i nabitý program doprovodný. Odborný program bude částečně dělený mezi informatiku a biologii, částečně společný. Bude se skládat z přednášek, dílen, diskuzí a alternativních vzdělávacích bloků.
nikdo	--	N-trophy	meziobor								?	?	?	
nikdo	--	T-exkurze: Zábava, technologie, náskok ve škole	meziobor								?	?	?	
nikdo	ÚLeT	Úžasný LEtní Tábor	fyzika	týdenní tábor	červenec – srpen 2016	žáci ZŠ druhého stupně se zájmem o fyziku	www.ulet.astronomie.cz	2 450 Kč	hvězdárna Úpice	Barbora Mikulecká, ulet@astronomie.cz, +420 724 720 605	?	?	?	V létě se na hvězdárně v Úpici opět sejde parta nadšených lidí, kteří pro děti ve věku 10–15 let připravili týdenní fyzikálně-experimentální tábor, jehož cílem je objevovat, přemýšlet, poznávat a užít si prázdnin! Tábor je jedinečný díky zajímavému složení jeho organizátorů. Vedle vystudovaných fyziků z PřF MU, kteří profesionálně předvádějí fyziku ve spolku Úžasného divadla fyziky (ÚDiF), v něm najdete Instruktory Brno. Ti se dlouhodobě věnují zážitkovým akcím pro mládež. Program se skládá z her a workshopů zaměřených nejen na objevování světa prostřednictvím vlastní zkušenosti, ale i na poznávání toho, v čem jsi dobrý a v čem slabší, a jak se s tím vyrovnat, jaké jsou tvoje priority, nebo jak dokážeš respektovat v kolektivu lidi s jinými názory, než jsou ty tvoje. Maximální možný počet dětí je 29.
nikdo	BRLOH	BRněnská LOgická Hra	matematika	soutěž	První internetové kolo začne začátkem listopadu 2015, soutěž vyvrcholí velkým finále v Brně v půlce prosince 2015.	žáci ZŠ a odpovídajících ročníků víceletých gymnázií	www.brloh.math.muni.cz	zdarma	Brno	Petr Pupík, petr.pupik@gmail.com, +420 777 182 312	?	?	?	Brloh, to je týmová internetová logická hra pro žáky základních škol a odpovídajících ročníků víceletých gymnázií. Hra se skládá ze tří internetových kol, odkud se týmy kvalifikují do internetového malého finále. Ti nejlepší pak postoupí do velkého finále v Brně. Tam se dostane nejlepších 7 týmů ze základních škol a 7 týmů z víceletých gymnázií. Soutěží se o bohaté ceny, jež si rozdělí všichni finalisté. Jednou z úloh, kterou mohli řešitelé luštit v uplynulém ročníku, byla tato: 4 × Karel + 3 × Jan + 2 × Božena + František + Ema = ? Zvládnete doplnit jméno místo otazníku?
nikdo	KOMÁR	KOrespondenční MAtematické Rébusy	matematika	soutěž	září 2015 až červen 2016	žáci základních škol a odpovídajících ročníků víceletých gymnázií	www.komar.math.muni.cz	zdarma	najdete na webu	Petr Pupík, petr.pupik@gmail.com, +420 777 182 312	?	?	?	Korespondenční matematické rébusy – matematická soutěž, kde soutěžící ze základních škol a odpovídajících ročníků víceletých gymnázií během celého školního roku řeší několik sérií matematických úloh. Na to navazují víkendová soustředění, na kterých si středoškoláci připravují přednášky pro základoškoláky a také pro ně chystají volnočasové aktivity. Víkendovky jsou plné matematických i nematematických her, zábavy a dobrodružství.
nikdo	--	Kurz genetiky a molekulární biologie pro učitele středních škol	biologie								?	?	?	
nikdo	--	Noční exkurze za netopýry pro středoškolské učitele	biologie								?	?	?	
nikdo	--	Fyzikální kavárna	fyzika								?	?	?	
nikdo	--	Kurz poznávání nerostů	geologie								?	?	?	
nikdo	--	Kurz praktického poznávání hornin	geologie	kurz	jaro 2016	učitelé základních a středních škol	www.ugv.cz	350 Kč	Přírodovědecká fakulta MU	Kateřina Zachovalová, zachovalova@sci.muni.cz	?	?	?	Jednodenní kurz určený pro pedagogy středních i základních škol. Účastníci si prohloubí vědomosti týkající se nejběžnějších hornin, s nimiž se na školách setkávají při výuce geologických fenoménů, a zvýší umění jejich praktického poznávání.
