Název,Kontaktní osoba,Průvodní text
"Ústav experimentální biologie, PřF MU","Kateřina Tomanová
katerina.tomanova@mail.muni.cz","Zajímají vás molekuly, geny, chromozomy a jak to celé vlastně funguje od počátku buňky až po její zánik? Nás také! Na Ústavu experimentální biologie se věnujeme molekulární biologii a genetice s přesahy do biochemie, bioinformatiky, ale také do medicíny, botaniky a zoologie. Využíváme moderní molekulární metody a přístroje, pomocí kterých se snažíme posouvat poznání o kousek dál. Přidejte se k nám a vypracujte u nás svou SOČ pod vedením zkušených školitelů, kteří Vás moc rádi zasvětí do tajů buněčného světa. Pro více informací kontaktujte jednotlivé vedoucí nebo Kateřinu Tomanovou (<a>katerina.tomanova@mail.muni.cz</a>)."
"Ústav fyziky a technologií plazmatu, PřF MU",pdvorak@physics.muni.cz,"Naše katedra se věnuje především fyzice plazmatu, tedy ionizovaného plynu, ve kterém probíhá množství nevšedních procesů, který se dá překvapivě využít, např. k objevování nových materiálů, a který v nás provokuje řadu otázek. Co se v plazmatu děje a proč? Jakým způsobem lze pomocí plazmatu vyrobit nové užitečné materiály a mohly by třeba být tvrdé a houževnatější než diamant? Co se stane s předmětem, který do plazmatu vložíme? Může plazma pomoci firmám vyřadit z výroby ekologicky problematické látky? Nebo může pomoci jednoduše slepit dva kusy skla? Při pokusech odpovědět na podobné otázky Tě rádi uvítáme. Zájemci můžou kontaktovat přímo školitele vybraného tématu, nebo, v případě obecnějších otázek, kontaktní osobu pro SOČ  (<a>pdvorak@physics.muni.cz</a>)."
"Ústav geologických věd, PřF MU","Kateřina Zachovalová
9098@mail.muni.cz",Kontaktní osoba ohledně SOČ obecně: Kateřina Zachovalová (<a>9098@mail.muni.cz</a>).
"Ústav chemie, PřF MU","Mgr. Hugo Semrád, Ph.D.
semrad.hugo@mail.muni.cz","V případě zájmu o téma práce SOČ zpracované na Ústavu chemie PřF MU kontaktujte Mgr. Huga Semráda, Ph.D. (<a>semrad.hugo@mail.muni.cz</a>)."
"Ústav teoretické fyziky a astrofyziky, PřF MU","Václav Glos
glos@physics.muni.cz",Kontaktní osoba ohledně SOČ obecně: Václav Glos (<a>glos@physics.muni.cz</a>).
"Ústav matematiky a statistiky, PřF MU","Petr Zemánek
zemanekp@math.muni.cz",Kontaktní osoba ohledně SOČ obecně: Petr Zemánek (<a>zemanekp@math.muni.cz</a>).
Právnická fakulta MU,vedavyzkum@law.muni.cz,Kontaktní osoba: Mgr. Ing. Jiří Jaroš
Fakulta sociálních studií MU,propagace@fss.muni.cz,
Filozofická fakulta MU,"Mgr. Ondřej Krajtl
krajtl@phil.muni.cz","Zajímají vás humanitní disciplíny, láká vás zkoumat a interpretovat kulturní a společenský vývoj? Pak jste u nás správně. Kontaktuje nás na adrese propagace@phil.muni.cz a domluvte si téma podle svých zájmů."
Lékařská fakulta MU,akademie@med.muni.cz,"Lékařská fakulta MU je místem, kde můžete průběžně sledovat, jak nová poznání přechází v praxi. Jak vědecké objevy a výsledky výzkumů ožívají a zlepšují kvalitu lidského života a zdravotnické péče. Buďte toho součástí. Piště SOČku pod vedením našich expertů, pracujte na vlastním tématu a staňte se vědcem už na střední škole."
Fakulta sportovních studií MU,Pavlína Roučová   roucova@fsps.muni.cz,Kontaktní osoba pro SOČ obecně: Mgr. Pavlína Roučová (roucova@fsps.muni.cz).
Farmaceutická fakulta MU,"PharmDr. Marie Valentová, Ph.D. valentovam@pharm.muni.cz","Kontaktní osoba pro SOČ obecně: PharmDr. Marie Valentová, Ph.D. (<a>valentovam@pharm.muni.cz</a>)."
Pedagogická fakulta MU,Mgr. Jana Jančíková jjancikova@ped.muni.cz,Kontaktní osoba pro SOČ obecně: Mgr. Jana Jančíková (jjancikova@ped.muni.cz).
Ústav antropologie,"Mgr. Martin Čuta, Ph.D. cuta@sci.muni.cz","Kontaktní osoba pro SOČ obecně: Mgr. Martin Čuta, Ph.D. (cuta@sci.muni.cz"
